[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
FBGX	1.715	84.897	74.35	90.02	80.82	5	1.0
NVDU	2.432	93.212	73.37	84.45	79.64	5	1.0
NVDL	2.41	92.953	76.1	87.2	77.99	5	1.0
AAPU	4.454	99.8	64.82	93.85	77.72	5	1.0
USD	2.242	91.008	76.65	83.99	76.52	5	1.0
TECL	1.522	82.65	66.24	79.75	76.15	5	1.0
ROM	1.515	82.571	65.35	76.04	74.1	5	1.0
XBJA	2.03	88.544	69.12	77.58	73.37	5	1.0
IWFL	1.638	83.996	74.17	66.01	73.25	5	1.0
QTJA	1.51	82.521	66.33	71.96	72.67	5	1.0
XTJA	1.827	86.192	65.09	80.44	69.34	5	1.0
QTOC	1.64	84.026	54.37	85.43	69.11	5	1.0
XDJA	1.761	85.426	64.54	59.65	69.0	5	1.0
XDEC	2.075	89.074	65.97	72.2	66.95	5	1.0
QULL	1.519	82.623	60.5	57.15	64.17	5	1.0
XSEP	2.153	89.979	65.44	74.79	61.62	5	1.0
